annee,pays,league,lien
2025/2026,france,ligue 1,https://fr.whoscored.com/Regions/74/Tournaments/22/Seasons/10792/france-ligue-1
2024/2025,france,ligue 1,https://fr.whoscored.com/Regions/74/Tournaments/22/Seasons/10329/france-ligue-1
2023/2024,france,ligue 1,https://fr.whoscored.com/Regions/74/Tournaments/22/Seasons/9635/france-ligue-1
2022/2023,france,ligue 1,https://fr.whoscored.com/Regions/74/Tournaments/22/Seasons/9129/france-ligue-1
2021/2022,france,ligue 1,https://fr.whoscored.com/Regions/74/Tournaments/22/Seasons/8671/france-ligue-1
2020/2021,france,ligue 1,https://fr.whoscored.com/Regions/74/Tournaments/22/Seasons/8185/france-ligue-1
2019/2020,france,ligue 1,https://fr.whoscored.com/Regions/74/Tournaments/22/Seasons/7814/france-ligue-1
2018/2019,france,ligue 1,https://fr.whoscored.com/Regions/74/Tournaments/22/Seasons/7344/france-ligue-1
2017/2018,france,ligue 1,https://fr.whoscored.com/Regions/74/Tournaments/22/Seasons/6833/france-ligue-1
2016/2017,france,ligue 1,https://fr.whoscored.com/Regions/74/Tournaments/22/Seasons/6318/france-ligue-1
2015/2016,france,ligue 1,https://fr.whoscored.com/Regions/74/Tournaments/22/Seasons/5830/france-ligue-1
2014/2015,france,ligue 1,https://fr.whoscored.com/Regions/74/Tournaments/22/Seasons/4279/france-ligue-1
2013/2014,france,ligue 1,https://fr.whoscored.com/Regions/74/Tournaments/22/Seasons/3836/france-ligue-1
2012/2013,france,ligue 1,https://fr.whoscored.com/Regions/74/Tournaments/22/Seasons/3356/france-ligue-1
2011/2012,france,ligue 1,https://fr.whoscored.com/Regions/74/Tournaments/22/Seasons/2920/france-ligue-1
2010/2011,france,ligue 1,https://fr.whoscored.com/Regions/74/Tournaments/22/Seasons/2417/france-ligue-1
2009/2010,france,ligue 1,https://fr.whoscored.com/Regions/74/Tournaments/22/Seasons/1839/france-ligue-1
2008/2009,france,ligue 1,https://fr.whoscored.com/Regions/74/Tournaments/22/Seasons/1520/france-ligue-1
2007/2008,france,ligue 1,https://fr.whoscored.com/Regions/74/Tournaments/22/Seasons/1236/france-ligue-1
