link,num_lien
https://fr.whoscored.com/matches/1821768,1821768.0
https://fr.whoscored.com/matches/1821769,1821769.0
https://fr.whoscored.com/matches/1821770,1821770.0
https://fr.whoscored.com/matches/1821771,1821771.0
https://fr.whoscored.com/matches/1821772,1821772.0
https://fr.whoscored.com/matches/1821773,1821773.0
https://fr.whoscored.com/matches/1821774,1821774.0
https://fr.whoscored.com/matches/1821775,1821775.0
https://fr.whoscored.com/matches/1821776,1821776.0
https://fr.whoscored.com/matches/1821777,1821777.0
https://fr.whoscored.com/matches/1821874,1821874.0
https://fr.whoscored.com/matches/1821894,1821894.0
https://fr.whoscored.com/matches/1821895,1821895.0
https://fr.whoscored.com/matches/1821905,1821905.0
https://fr.whoscored.com/matches/1821907,1821907.0
https://fr.whoscored.com/matches/1821910,1821910.0
https://fr.whoscored.com/matches/1821916,1821916.0
https://fr.whoscored.com/matches/1821920,1821920.0
https://fr.whoscored.com/matches/1821928,1821928.0
https://fr.whoscored.com/matches/1821939,1821939.0
https://fr.whoscored.com/matches/1821951,1821951.0
https://fr.whoscored.com/matches/1821959,1821959.0
https://fr.whoscored.com/matches/1821975,1821975.0
https://fr.whoscored.com/matches/1821989,1821989.0
https://fr.whoscored.com/matches/1821991,1821991.0
https://fr.whoscored.com/matches/1822014,1822014.0
https://fr.whoscored.com/matches/1822016,1822016.0
https://fr.whoscored.com/matches/1822023,1822023.0
https://fr.whoscored.com/matches/1822038,1822038.0
https://fr.whoscored.com/matches/1822043,1822043.0
https://fr.whoscored.com/matches/1822059,1822059.0
https://fr.whoscored.com/matches/1822071,1822071.0
https://fr.whoscored.com/matches/1822073,1822073.0
https://fr.whoscored.com/matches/1822078,1822078.0
https://fr.whoscored.com/matches/1822083,1822083.0
https://fr.whoscored.com/matches/1822094,1822094.0
https://fr.whoscored.com/matches/1822108,1822108.0
https://fr.whoscored.com/matches/1822110,1822110.0
https://fr.whoscored.com/matches/1822127,1822127.0
https://fr.whoscored.com/matches/1822129,1822129.0
https://fr.whoscored.com/matches/1822130,1822130.0
https://fr.whoscored.com/matches/1822131,1822131.0
https://fr.whoscored.com/matches/1822132,1822132.0
https://fr.whoscored.com/matches/1822133,1822133.0
https://fr.whoscored.com/matches/1822134,1822134.0
https://fr.whoscored.com/matches/1822135,1822135.0
https://fr.whoscored.com/matches/1822136,1822136.0
https://fr.whoscored.com/matches/1822137,1822137.0
https://fr.whoscored.com/matches/1822138,1822138.0
https://fr.whoscored.com/matches/1822139,1822139.0
https://fr.whoscored.com/matches/1822140,1822140.0
https://fr.whoscored.com/matches/1822141,1822141.0
https://fr.whoscored.com/matches/1822142,1822142.0
https://fr.whoscored.com/matches/1822143,1822143.0
https://fr.whoscored.com/matches/1822144,1822144.0
https://fr.whoscored.com/matches/1822145,1822145.0
https://fr.whoscored.com/matches/1822146,1822146.0
https://fr.whoscored.com/matches/1822147,1822147.0
https://fr.whoscored.com/matches/1822148,1822148.0
https://fr.whoscored.com/matches/1822149,1822149.0
https://fr.whoscored.com/matches/1822150,1822150.0
https://fr.whoscored.com/matches/1822151,1822151.0
https://fr.whoscored.com/matches/1822152,1822152.0
https://fr.whoscored.com/matches/1822153,1822153.0
https://fr.whoscored.com/matches/1822154,1822154.0
https://fr.whoscored.com/matches/1822155,1822155.0
https://fr.whoscored.com/matches/1822156,1822156.0
https://fr.whoscored.com/matches/1822157,1822157.0
https://fr.whoscored.com/matches/1822158,1822158.0
https://fr.whoscored.com/matches/1822159,1822159.0
https://fr.whoscored.com/matches/1822160,1822160.0
https://fr.whoscored.com/matches/1822161,1822161.0
https://fr.whoscored.com/matches/1822162,1822162.0
https://fr.whoscored.com/matches/1822163,1822163.0
https://fr.whoscored.com/matches/1822164,1822164.0
https://fr.whoscored.com/matches/1822165,1822165.0
https://fr.whoscored.com/matches/1822166,1822166.0
https://fr.whoscored.com/matches/1822167,1822167.0
https://fr.whoscored.com/matches/1822168,1822168.0
https://fr.whoscored.com/matches/1822169,1822169.0
https://fr.whoscored.com/matches/1822170,1822170.0
https://fr.whoscored.com/matches/1822171,1822171.0
https://fr.whoscored.com/matches/1822172,1822172.0
https://fr.whoscored.com/matches/1822173,1822173.0
https://fr.whoscored.com/matches/1822675,1822675.0
https://fr.whoscored.com/matches/1822677,1822677.0
https://fr.whoscored.com/matches/1822679,1822679.0
https://fr.whoscored.com/matches/1822681,1822681.0
https://fr.whoscored.com/matches/1822683,1822683.0
https://fr.whoscored.com/matches/1822685,1822685.0
https://fr.whoscored.com/matches/1822687,1822687.0
https://fr.whoscored.com/matches/1822689,1822689.0
https://fr.whoscored.com/matches/1822690,1822690.0
https://fr.whoscored.com/matches/1822691,1822691.0
https://fr.whoscored.com/matches/1822692,1822692.0
https://fr.whoscored.com/matches/1822693,1822693.0
https://fr.whoscored.com/matches/1822694,1822694.0
https://fr.whoscored.com/matches/1822695,1822695.0
https://fr.whoscored.com/matches/1822696,1822696.0
https://fr.whoscored.com/matches/1822697,1822697.0
https://fr.whoscored.com/matches/1822698,1822698.0
https://fr.whoscored.com/matches/1822699,1822699.0
https://fr.whoscored.com/matches/1822700,1822700.0
https://fr.whoscored.com/matches/1822701,1822701.0
https://fr.whoscored.com/matches/1822702,1822702.0
https://fr.whoscored.com/matches/1822703,1822703.0
https://fr.whoscored.com/matches/1822704,1822704.0
https://fr.whoscored.com/matches/1822705,1822705.0
https://fr.whoscored.com/matches/1822706,1822706.0
https://fr.whoscored.com/matches/1822707,1822707.0
https://fr.whoscored.com/matches/1822708,1822708.0
https://fr.whoscored.com/matches/1823043,1823043.0
https://fr.whoscored.com/matches/1823044,1823044.0
https://fr.whoscored.com/matches/1823045,1823045.0
https://fr.whoscored.com/matches/1823046,1823046.0
https://fr.whoscored.com/matches/1823047,1823047.0
https://fr.whoscored.com/matches/1823048,1823048.0
https://fr.whoscored.com/matches/1823049,1823049.0
https://fr.whoscored.com/matches/1823050,1823050.0
https://fr.whoscored.com/matches/1823051,1823051.0
https://fr.whoscored.com/matches/1823087,1823087.0
https://fr.whoscored.com/matches/1823156,1823156.0
https://fr.whoscored.com/matches/1823157,1823157.0
https://fr.whoscored.com/matches/1823173,1823173.0
https://fr.whoscored.com/matches/1823174,1823174.0
https://fr.whoscored.com/matches/1823195,1823195.0
https://fr.whoscored.com/matches/1823196,1823196.0
https://fr.whoscored.com/matches/1823486,1823486.0
https://fr.whoscored.com/matches/1823487,1823487.0
https://fr.whoscored.com/matches/1823488,1823488.0
https://fr.whoscored.com/matches/1823489,1823489.0
https://fr.whoscored.com/matches/1823490,1823490.0
https://fr.whoscored.com/matches/1823491,1823491.0
https://fr.whoscored.com/matches/1823492,1823492.0
https://fr.whoscored.com/matches/1823493,1823493.0
https://fr.whoscored.com/matches/1823501,1823501.0
https://fr.whoscored.com/matches/1823502,1823502.0
https://fr.whoscored.com/matches/1823503,1823503.0
https://fr.whoscored.com/matches/1823505,1823505.0
https://fr.whoscored.com/matches/1823506,1823506.0
https://fr.whoscored.com/matches/1823507,1823507.0
https://fr.whoscored.com/matches/1823508,1823508.0
