link,num_lien,league,annee,equipes
/matches/1820039/live/pologne-i-liga-2024-2025-ruch-chorzow-miedz-legnica,1820039.0,pologne-i-liga,2024-2025,ruch-chorzow-miedz-legnica
/matches/1820040/live/pologne-i-liga-2024-2025-gornik-leczna-kotwica-kolobrzeg,1820040.0,pologne-i-liga,2024-2025,gornik-leczna-kotwica-kolobrzeg
/matches/1820041/live/pologne-i-liga-2024-2025-arka-gdynia-warta-poznan,1820041.0,pologne-i-liga,2024-2025,arka-gdynia-warta-poznan
/matches/1820042/live/pologne-i-liga-2024-2025-odra-opole-wisla-krakow,1820042.0,pologne-i-liga,2024-2025,odra-opole-wisla-krakow
/matches/1820043/live/pologne-i-liga-2024-2025-pogon-siedlce-znicz-pruszkow,1820043.0,pologne-i-liga,2024-2025,pogon-siedlce-znicz-pruszkow
/matches/1820044/live/pologne-i-liga-2024-2025-ruch-chorzow-wisla-krakow,1820044.0,pologne-i-liga,2024-2025,ruch-chorzow-wisla-krakow
/matches/1820045/live/pologne-i-liga-2024-2025-wisla-krakow-znicz-pruszkow,1820045.0,pologne-i-liga,2024-2025,wisla-krakow-znicz-pruszkow
/matches/1820046/live/pologne-i-liga-2024-2025-arka-gdynia-polonia-warszawa,1820046.0,pologne-i-liga,2024-2025,arka-gdynia-polonia-warszawa
/matches/1820047/live/pologne-i-liga-2024-2025-gornik-leczna-lks-lodz,1820047.0,pologne-i-liga,2024-2025,gornik-leczna-lks-lodz
/matches/1820048/live/pologne-i-liga-2024-2025-miedz-legnica-stal-rzeszow,1820048.0,pologne-i-liga,2024-2025,miedz-legnica-stal-rzeszow
/matches/1820049/live/pologne-i-liga-2024-2025-kotwica-kolobrzeg-stal-stalowa-wola,1820049.0,pologne-i-liga,2024-2025,kotwica-kolobrzeg-stal-stalowa-wola
/matches/1820050/live/pologne-i-liga-2024-2025-warta-poznan-gks-tychy,1820050.0,pologne-i-liga,2024-2025,warta-poznan-gks-tychy
/matches/1820051/live/pologne-i-liga-2024-2025-chrobry-glogow-wisla-plock,1820051.0,pologne-i-liga,2024-2025,chrobry-glogow-wisla-plock
/matches/1820052/live/pologne-i-liga-2024-2025-odra-opole-termalica-nieciecza,1820052.0,pologne-i-liga,2024-2025,odra-opole-termalica-nieciecza
/matches/1820053/live/pologne-i-liga-2024-2025-pogon-siedlce-ruch-chorzow,1820053.0,pologne-i-liga,2024-2025,pogon-siedlce-ruch-chorzow
/matches/1820054/live/pologne-i-liga-2024-2025-pogon-siedlce-odra-opole,1820054.0,pologne-i-liga,2024-2025,pogon-siedlce-odra-opole
/matches/1820055/live/pologne-i-liga-2024-2025-termalica-nieciecza-chrobry-glogow,1820055.0,pologne-i-liga,2024-2025,termalica-nieciecza-chrobry-glogow
/matches/1820056/live/pologne-i-liga-2024-2025-wisla-plock-warta-poznan,1820056.0,pologne-i-liga,2024-2025,wisla-plock-warta-poznan
/matches/1820057/live/pologne-i-liga-2024-2025-znicz-pruszkow-arka-gdynia,1820057.0,pologne-i-liga,2024-2025,znicz-pruszkow-arka-gdynia
/matches/1820058/live/pologne-i-liga-2024-2025-polonia-warszawa-gornik-leczna,1820058.0,pologne-i-liga,2024-2025,polonia-warszawa-gornik-leczna
/matches/1820059/live/pologne-i-liga-2024-2025-lks-lodz-miedz-legnica,1820059.0,pologne-i-liga,2024-2025,lks-lodz-miedz-legnica
