numéro,link
1820170,/matches/1820170/live/bulgarie-a-pfg-2024-2025-botev-vratsa-septemvri-sofia
1820171,/matches/1820171/live/bulgarie-a-pfg-2024-2025-lokomotiv-plovdiv-cherno-more-varna
1820172,/matches/1820172/live/bulgarie-a-pfg-2024-2025-krumovgrad-beroe
1820173,/matches/1820173/live/bulgarie-a-pfg-2024-2025-ludogorets-razgrad-levski-sofia
1820174,/matches/1820174/live/bulgarie-a-pfg-2024-2025-hebar-botev-plovdiv
1820175,/matches/1820175/live/bulgarie-a-pfg-2024-2025-spartak-varna-arda-kardzhali
1820176,/matches/1820176/live/bulgarie-a-pfg-2024-2025-cska-sofia-slavia-sofia
1820177,/matches/1820177/live/bulgarie-a-pfg-2024-2025-cska-1948-slavia-sofia
1820178,/matches/1820178/live/bulgarie-a-pfg-2024-2025-arda-kardzhali-cska-sofia
1820179,/matches/1820179/live/bulgarie-a-pfg-2024-2025-botev-plovdiv-spartak-varna
1820180,/matches/1820180/live/bulgarie-a-pfg-2024-2025-beroe-ludogorets-razgrad
1820181,/matches/1820181/live/bulgarie-a-pfg-2024-2025-cherno-more-varna-krumovgrad
1820182,/matches/1820182/live/bulgarie-a-pfg-2024-2025-levski-sofia-hebar
1820183,/matches/1820183/live/bulgarie-a-pfg-2024-2025-septemvri-sofia-lokomotiv-plovdiv
1820184,/matches/1820184/live/bulgarie-a-pfg-2024-2025-pfc-lokomotiv-sofia-1929-botev-vratsa
1820185,/matches/1820185/live/bulgarie-a-pfg-2024-2025-cska-sofia-botev-plovdiv
1820186,/matches/1820186/live/bulgarie-a-pfg-2024-2025-cherno-more-varna-hebar
1820187,/matches/1820187/live/bulgarie-a-pfg-2024-2025-spartak-varna-cherno-more-varna
1820188,/matches/1820188/live/bulgarie-a-pfg-2024-2025-botev-vratsa-cska-1948
1820189,/matches/1820189/live/bulgarie-a-pfg-2024-2025-lokomotiv-plovdiv-pfc-lokomotiv-sofia-1929
1820190,/matches/1820190/live/bulgarie-a-pfg-2024-2025-krumovgrad-septemvri-sofia
1820191,/matches/1820191/live/bulgarie-a-pfg-2024-2025-ludogorets-razgrad-cherno-more-varna
1820192,/matches/1820192/live/bulgarie-a-pfg-2024-2025-hebar-beroe
1820193,/matches/1820193/live/bulgarie-a-pfg-2024-2025-spartak-varna-levski-sofia
1820194,/matches/1820194/live/bulgarie-a-pfg-2024-2025-slavia-sofia-arda-kardzhali
1820195,/matches/1820195/live/bulgarie-a-pfg-2024-2025-cska-1948-arda-kardzhali
1820196,/matches/1820196/live/bulgarie-a-pfg-2024-2025-botev-plovdiv-slavia-sofia
1820197,/matches/1820197/live/bulgarie-a-pfg-2024-2025-levski-sofia-cska-sofia
1820200,/matches/1820200/live/bulgarie-a-pfg-2024-2025-pfc-lokomotiv-sofia-1929-krumovgrad
1820201,/matches/1820201/live/bulgarie-a-pfg-2024-2025-botev-vratsa-lokomotiv-plovdiv
1820202,/matches/1820202/live/bulgarie-a-pfg-2024-2025-lokomotiv-plovdiv-cska-1948
1820203,/matches/1820203/live/bulgarie-a-pfg-2024-2025-krumovgrad-botev-vratsa
1820204,/matches/1820204/live/bulgarie-a-pfg-2024-2025-ludogorets-razgrad-pfc-lokomotiv-sofia-1929
1820205,/matches/1820205/live/bulgarie-a-pfg-2024-2025-hebar-septemvri-sofia
1820206,/matches/1820206/live/bulgarie-a-pfg-2024-2025-cska-sofia-beroe
1820207,/matches/1820207/live/bulgarie-a-pfg-2024-2025-slavia-sofia-levski-sofia
1820208,/matches/1820208/live/bulgarie-a-pfg-2024-2025-arda-kardzhali-botev-plovdiv
1820209,/matches/1820209/live/bulgarie-a-pfg-2024-2025-cska-1948-botev-plovdiv
1820210,/matches/1820210/live/bulgarie-a-pfg-2024-2025-levski-sofia-arda-kardzhali
1820211,/matches/1820211/live/bulgarie-a-pfg-2024-2025-beroe-slavia-sofia
1820212,/matches/1820212/live/bulgarie-a-pfg-2024-2025-cherno-more-varna-cska-sofia
1820213,/matches/1820213/live/bulgarie-a-pfg-2024-2025-septemvri-sofia-spartak-varna
1820214,/matches/1820214/live/bulgarie-a-pfg-2024-2025-pfc-lokomotiv-sofia-1929-hebar
1820215,/matches/1820215/live/bulgarie-a-pfg-2024-2025-botev-vratsa-ludogorets-razgrad
1820216,/matches/1820216/live/bulgarie-a-pfg-2024-2025-lokomotiv-plovdiv-krumovgrad
1820217,/matches/1820217/live/bulgarie-a-pfg-2024-2025-krumovgrad-cska-1948
1820218,/matches/1820218/live/bulgarie-a-pfg-2024-2025-ludogorets-razgrad-lokomotiv-plovdiv
1820219,/matches/1820219/live/bulgarie-a-pfg-2024-2025-hebar-botev-vratsa
1820220,/matches/1820220/live/bulgarie-a-pfg-2024-2025-spartak-varna-pfc-lokomotiv-sofia-1929
1820221,/matches/1820221/live/bulgarie-a-pfg-2024-2025-cska-sofia-septemvri-sofia
1820222,/matches/1820222/live/bulgarie-a-pfg-2024-2025-slavia-sofia-cherno-more-varna
1820223,/matches/1820223/live/bulgarie-a-pfg-2024-2025-arda-kardzhali-beroe
1820224,/matches/1820224/live/bulgarie-a-pfg-2024-2025-botev-plovdiv-levski-sofia
1820225,/matches/1820225/live/bulgarie-a-pfg-2024-2025-pfc-lokomotiv-sofia-1929-ludogorets-razgrad
1820226,/matches/1820226/live/bulgarie-a-pfg-2024-2025-cska-1948-lokomotiv-plovdiv
1820227,/matches/1820227/live/bulgarie-a-pfg-2024-2025-cska-1948-levski-sofia
1820228,/matches/1820228/live/bulgarie-a-pfg-2024-2025-septemvri-sofia-hebar
1820229,/matches/1820229/live/bulgarie-a-pfg-2024-2025-botev-vratsa-krumovgrad
1820230,/matches/1820230/live/bulgarie-a-pfg-2024-2025-slavia-sofia-lokomotiv-plovdiv
1820231,/matches/1820231/live/bulgarie-a-pfg-2024-2025-beroe-botev-plovdiv
1820232,/matches/1820232/live/bulgarie-a-pfg-2024-2025-pfc-lokomotiv-sofia-1929-septemvri-sofia
1820233,/matches/1820233/live/bulgarie-a-pfg-2024-2025-arda-kardzhali-botev-vratsa
1820234,/matches/1820234/live/bulgarie-a-pfg-2024-2025-cherno-more-varna-arda-kardzhali
1820235,/matches/1820235/live/bulgarie-a-pfg-2024-2025-cska-1948-pfc-lokomotiv-sofia-1929
1820236,/matches/1820236/live/bulgarie-a-pfg-2024-2025-septemvri-sofia-botev-vratsa
1820237,/matches/1820237/live/bulgarie-a-pfg-2024-2025-septemvri-sofia-slavia-sofia
1820238,/matches/1820238/live/bulgarie-a-pfg-2024-2025-botev-plovdiv-pfc-lokomotiv-sofia-1929
1820239,/matches/1820239/live/bulgarie-a-pfg-2024-2025-cherno-more-varna-lokomotiv-plovdiv
1820240,/matches/1820240/live/bulgarie-a-pfg-2024-2025-pfc-lokomotiv-sofia-1929-cska-sofia
1820241,/matches/1820241/live/bulgarie-a-pfg-2024-2025-levski-sofia-septemvri-sofia
1820242,/matches/1820242/live/bulgarie-a-pfg-2024-2025-botev-vratsa-spartak-varna
1820243,/matches/1820243/live/bulgarie-a-pfg-2024-2025-beroe-krumovgrad
1820244,/matches/1820244/live/bulgarie-a-pfg-2024-2025-lokomotiv-plovdiv-hebar
1820245,/matches/1820245/live/bulgarie-a-pfg-2024-2025-beroe-cherno-more-varna
1820246,/matches/1820246/live/bulgarie-a-pfg-2024-2025-levski-sofia-ludogorets-razgrad
1820247,/matches/1820247/live/bulgarie-a-pfg-2024-2025-krumovgrad-ludogorets-razgrad
