numéro,pays,ligue,année,clubs,liens
1821206,Angleterre Premier,League,2024-2025,Bournemouth West Ham,/matches/1821206/live/angleterre-premier-league-2024-2025-bournemouth-west-ham
1821207,Angleterre Premier,League,2024-2025,Chelsea Aston Villa,/matches/1821207/live/angleterre-premier-league-2024-2025-chelsea-aston-villa
1821208,Angleterre Premier,League,2024-2025,Arsenal Everton,/matches/1821208/live/angleterre-premier-league-2024-2025-arsenal-everton
1821209,Angleterre Premier,League,2024-2025,Leicester Nottingham Forest,/matches/1821209/live/angleterre-premier-league-2024-2025-leicester-nottingham-forest
1821210,Angleterre Premier,League,2024-2025,Brighton Crystal Palace,/matches/1821210/live/angleterre-premier-league-2024-2025-brighton-crystal-palace
1821211,Angleterre Premier,League,2024-2025,Chelsea Brentford,/matches/1821211/live/angleterre-premier-league-2024-2025-chelsea-brentford
1821212,Angleterre Premier,League,2024-2025,Crystal Palace Newcastle,/matches/1821212/live/angleterre-premier-league-2024-2025-crystal-palace-newcastle
1821213,Angleterre Premier,League,2024-2025,Liverpool Fulham,/matches/1821213/live/angleterre-premier-league-2024-2025-liverpool-fulham
1821214,Angleterre Premier,League,2024-2025,Manchester City Southampton,/matches/1821214/live/angleterre-premier-league-2024-2025-manchester-city-southampton
1821215,Angleterre Premier,League,2024-2025,Manchester City Manchester United,/matches/1821215/live/angleterre-premier-league-2024-2025-manchester-city-manchester-united
1821216,Angleterre Premier,League,2024-2025,Liverpool Manchester City,/matches/1821216/live/angleterre-premier-league-2024-2025-liverpool-manchester-city
1821217,Angleterre Premier,League,2024-2025,Newcastle Leicester,/matches/1821217/live/angleterre-premier-league-2024-2025-newcastle-leicester
1821218,Angleterre Premier,League,2024-2025,West Ham Manchester United,/matches/1821218/live/angleterre-premier-league-2024-2025-west-ham-manchester-united
1821219,Angleterre Premier,League,2024-2025,Nottingham Forest Aston Villa,/matches/1821219/live/angleterre-premier-league-2024-2025-nottingham-forest-aston-villa
1821220,Angleterre Premier,League,2024-2025,Manchester United Everton,/matches/1821220/live/angleterre-premier-league-2024-2025-manchester-united-everton
1821221,Angleterre Premier,League,2024-2025,Southampton Tottenham,/matches/1821221/live/angleterre-premier-league-2024-2025-southampton-tottenham
1821222,Angleterre Premier,League,2024-2025,Nottingham Forest Ipswich,/matches/1821222/live/angleterre-premier-league-2024-2025-nottingham-forest-ipswich
1821223,Angleterre Premier,League,2024-2025,Wolves Ipswich,/matches/1821223/live/angleterre-premier-league-2024-2025-wolves-ipswich
1821224,Angleterre Premier,League,2024-2025,Tottenham Fulham,/matches/1821224/live/angleterre-premier-league-2024-2025-tottenham-fulham
1821225,Angleterre Premier,League,2024-2025,Aston Villa Manchester City,/matches/1821225/live/angleterre-premier-league-2024-2025-aston-villa-manchester-city
1821226,Angleterre Premier,League,2024-2025,West Ham Arsenal,/matches/1821226/live/angleterre-premier-league-2024-2025-west-ham-arsenal
1821227,Angleterre Premier,League,2024-2025,Brentford Nottingham Forest,/matches/1821227/live/angleterre-premier-league-2024-2025-brentford-nottingham-forest
1821228,Angleterre Premier,League,2024-2025,Wolves Bournemouth,/matches/1821228/live/angleterre-premier-league-2024-2025-wolves-bournemouth
1821229,Angleterre Premier,League,2024-2025,Crystal Palace Arsenal,/matches/1821229/live/angleterre-premier-league-2024-2025-crystal-palace-arsenal
1821230,Angleterre Premier,League,2024-2025,Bournemouth Tottenham,/matches/1821230/live/angleterre-premier-league-2024-2025-bournemouth-tottenham
1821231,Angleterre Premier,League,2024-2025,Everton Chelsea,/matches/1821231/live/angleterre-premier-league-2024-2025-everton-chelsea
1821232,Angleterre Premier,League,2024-2025,Arsenal Manchester United,/matches/1821232/live/angleterre-premier-league-2024-2025-arsenal-manchester-united
1821233,Angleterre Premier,League,2024-2025,Fulham Southampton,/matches/1821233/live/angleterre-premier-league-2024-2025-fulham-southampton
1821234,Angleterre Premier,League,2024-2025,Aston Villa Brentford,/matches/1821234/live/angleterre-premier-league-2024-2025-aston-villa-brentford
1821235,Angleterre Premier,League,2024-2025,Everton Wolves,/matches/1821235/live/angleterre-premier-league-2024-2025-everton-wolves
1821236,Angleterre Premier,League,2024-2025,Ipswich Newcastle,/matches/1821236/live/angleterre-premier-league-2024-2025-ipswich-newcastle
1821237,Angleterre Premier,League,2024-2025,Fulham Brighton,/matches/1821237/live/angleterre-premier-league-2024-2025-fulham-brighton
1821238,Angleterre Premier,League,2024-2025,Leicester Wolves,/matches/1821238/live/angleterre-premier-league-2024-2025-leicester-wolves
1821239,Angleterre Premier,League,2024-2025,Ipswich Crystal Palace,/matches/1821239/live/angleterre-premier-league-2024-2025-ipswich-crystal-palace
1821240,Angleterre Premier,League,2024-2025,Manchester United Bournemouth,/matches/1821240/live/angleterre-premier-league-2024-2025-manchester-united-bournemouth
1821241,Angleterre Premier,League,2024-2025,Leicester West Ham,/matches/1821241/live/angleterre-premier-league-2024-2025-leicester-west-ham
1821242,Angleterre Premier,League,2024-2025,Tottenham Liverpool,/matches/1821242/live/angleterre-premier-league-2024-2025-tottenham-liverpool
1821243,Angleterre Premier,League,2024-2025,Manchester City Nottingham Forest,/matches/1821243/live/angleterre-premier-league-2024-2025-manchester-city-nottingham-forest
1821244,Angleterre Premier,League,2024-2025,West Ham Brighton,/matches/1821244/live/angleterre-premier-league-2024-2025-west-ham-brighton
1821245,Angleterre Premier,League,2024-2025,Newcastle Liverpool,/matches/1821245/live/angleterre-premier-league-2024-2025-newcastle-liverpool
1821246,Angleterre Premier,League,2024-2025,Southampton Chelsea,/matches/1821246/live/angleterre-premier-league-2024-2025-southampton-chelsea
1821247,Angleterre Premier,League,2024-2025,Aston Villa Southampton,/matches/1821247/live/angleterre-premier-league-2024-2025-aston-villa-southampton
1821248,Angleterre Premier,League,2024-2025,Brentford Newcastle,/matches/1821248/live/angleterre-premier-league-2024-2025-brentford-newcastle
1821249,Angleterre Premier,League,2024-2025,Bournemouth Manchester City,/matches/1821249/live/angleterre-premier-league-2024-2025-bournemouth-manchester-city
1821250,Angleterre Premier,League,2024-2025,Fulham Brentford,/matches/1821250/live/angleterre-premier-league-2024-2025-fulham-brentford
1821251,Angleterre Premier,League,2024-2025,Newcastle Arsenal,/matches/1821251/live/angleterre-premier-league-2024-2025-newcastle-arsenal
1821252,Angleterre Premier,League,2024-2025,Ipswich Leicester,/matches/1821252/live/angleterre-premier-league-2024-2025-ipswich-leicester
1821253,Angleterre Premier,League,2024-2025,Liverpool Brighton,/matches/1821253/live/angleterre-premier-league-2024-2025-liverpool-brighton
1821254,Angleterre Premier,League,2024-2025,Manchester United Chelsea,/matches/1821254/live/angleterre-premier-league-2024-2025-manchester-united-chelsea
1821255,Angleterre Premier,League,2024-2025,Nottingham Forest West Ham,/matches/1821255/live/angleterre-premier-league-2024-2025-nottingham-forest-west-ham
1821256,Angleterre Premier,League,2024-2025,Southampton Everton,/matches/1821256/live/angleterre-premier-league-2024-2025-southampton-everton
1821257,Angleterre Premier,League,2024-2025,Tottenham Aston Villa,/matches/1821257/live/angleterre-premier-league-2024-2025-tottenham-aston-villa
1821258,Angleterre Premier,League,2024-2025,Wolves Crystal Palace,/matches/1821258/live/angleterre-premier-league-2024-2025-wolves-crystal-palace
1821259,Angleterre Premier,League,2024-2025,Brentford Bournemouth,/matches/1821259/live/angleterre-premier-league-2024-2025-brentford-bournemouth
1821260,Angleterre Premier,League,2024-2025,Brighton Manchester City,/matches/1821260/live/angleterre-premier-league-2024-2025-brighton-manchester-city
1821261,Angleterre Premier,League,2024-2025,Nottingham Forest Newcastle,/matches/1821261/live/angleterre-premier-league-2024-2025-nottingham-forest-newcastle
1821262,Angleterre Premier,League,2024-2025,Chelsea Arsenal,/matches/1821262/live/angleterre-premier-league-2024-2025-chelsea-arsenal
1821263,Angleterre Premier,League,2024-2025,Bournemouth Crystal Palace,/matches/1821263/live/angleterre-premier-league-2024-2025-bournemouth-crystal-palace
1821264,Angleterre Premier,League,2024-2025,Crystal Palace Fulham,/matches/1821264/live/angleterre-premier-league-2024-2025-crystal-palace-fulham
1821265,Angleterre Premier,League,2024-2025,Arsenal Ipswich,/matches/1821265/live/angleterre-premier-league-2024-2025-arsenal-ipswich
1821266,Angleterre Premier,League,2024-2025,Liverpool Aston Villa,/matches/1821266/live/angleterre-premier-league-2024-2025-liverpool-aston-villa
1821267,Angleterre Premier,League,2024-2025,Brighton Brentford,/matches/1821267/live/angleterre-premier-league-2024-2025-brighton-brentford
1821268,Angleterre Premier,League,2024-2025,Manchester United Leicester,/matches/1821268/live/angleterre-premier-league-2024-2025-manchester-united-leicester
1821269,Angleterre Premier,League,2024-2025,Chelsea Fulham,/matches/1821269/live/angleterre-premier-league-2024-2025-chelsea-fulham
1821270,Angleterre Premier,League,2024-2025,Liverpool Leicester,/matches/1821270/live/angleterre-premier-league-2024-2025-liverpool-leicester
1821271,Angleterre Premier,League,2024-2025,Tottenham Ipswich,/matches/1821271/live/angleterre-premier-league-2024-2025-tottenham-ipswich
1821272,Angleterre Premier,League,2024-2025,Manchester City Everton,/matches/1821272/live/angleterre-premier-league-2024-2025-manchester-city-everton
1821273,Angleterre Premier,League,2024-2025,West Ham Everton,/matches/1821273/live/angleterre-premier-league-2024-2025-west-ham-everton
1821274,Angleterre Premier,League,2024-2025,Newcastle Aston Villa,/matches/1821274/live/angleterre-premier-league-2024-2025-newcastle-aston-villa
1821275,Angleterre Premier,League,2024-2025,Wolves Southampton,/matches/1821275/live/angleterre-premier-league-2024-2025-wolves-southampton
1821276,Angleterre Premier,League,2024-2025,Nottingham Forest Tottenham,/matches/1821276/live/angleterre-premier-league-2024-2025-nottingham-forest-tottenham
1821277,Angleterre Premier,League,2024-2025,Southampton West Ham,/matches/1821277/live/angleterre-premier-league-2024-2025-southampton-west-ham
1821278,Angleterre Premier,League,2024-2025,Wolves Manchester United,/matches/1821278/live/angleterre-premier-league-2024-2025-wolves-manchester-united
1821279,Angleterre Premier,League,2024-2025,Aston Villa Brighton,/matches/1821279/live/angleterre-premier-league-2024-2025-aston-villa-brighton
1821280,Angleterre Premier,League,2024-2025,Brentford Arsenal,/matches/1821280/live/angleterre-premier-league-2024-2025-brentford-arsenal
1821281,Angleterre Premier,League,2024-2025,Crystal Palace Southampton,/matches/1821281/live/angleterre-premier-league-2024-2025-crystal-palace-southampton
1821282,Angleterre Premier,League,2024-2025,Everton Nottingham Forest,/matches/1821282/live/angleterre-premier-league-2024-2025-everton-nottingham-forest
1821283,Angleterre Premier,League,2024-2025,Fulham Bournemouth,/matches/1821283/live/angleterre-premier-league-2024-2025-fulham-bournemouth
1821284,Angleterre Premier,League,2024-2025,Ipswich Chelsea,/matches/1821284/live/angleterre-premier-league-2024-2025-ipswich-chelsea
1821285,Angleterre Premier,League,2024-2025,Chelsea Wolves,/matches/1821285/live/angleterre-premier-league-2024-2025-chelsea-wolves
1821286,Angleterre Premier,League,2024-2025,Everton Tottenham,/matches/1821286/live/angleterre-premier-league-2024-2025-everton-tottenham
1821287,Angleterre Premier,League,2024-2025,Ipswich Manchester City,/matches/1821287/live/angleterre-premier-league-2024-2025-ipswich-manchester-city
1821288,Angleterre Premier,League,2024-2025,Leicester Fulham,/matches/1821288/live/angleterre-premier-league-2024-2025-leicester-fulham
1821289,Angleterre Premier,League,2024-2025,Manchester United Brighton,/matches/1821289/live/angleterre-premier-league-2024-2025-manchester-united-brighton
1821290,Angleterre Premier,League,2024-2025,Newcastle Bournemouth,/matches/1821290/live/angleterre-premier-league-2024-2025-newcastle-bournemouth
1821291,Angleterre Premier,League,2024-2025,Nottingham Forest Southampton,/matches/1821291/live/angleterre-premier-league-2024-2025-nottingham-forest-southampton
1821292,Angleterre Premier,League,2024-2025,West Ham Crystal Palace,/matches/1821292/live/angleterre-premier-league-2024-2025-west-ham-crystal-palace
1821293,Angleterre Premier,League,2024-2025,Leicester Manchester City,/matches/1821293/live/angleterre-premier-league-2024-2025-leicester-manchester-city
1821294,Angleterre Premier,League,2024-2025,Manchester United Newcastle,/matches/1821294/live/angleterre-premier-league-2024-2025-manchester-united-newcastle
1821295,Angleterre Premier,League,2024-2025,Tottenham Wolves,/matches/1821295/live/angleterre-premier-league-2024-2025-tottenham-wolves
1821296,Angleterre Premier,League,2024-2025,West Ham Liverpool,/matches/1821296/live/angleterre-premier-league-2024-2025-west-ham-liverpool
1821297,Angleterre Premier,League,2024-2025,Bournemouth Everton,/matches/1821297/live/angleterre-premier-league-2024-2025-bournemouth-everton
1821298,Angleterre Premier,League,2024-2025,Aston Villa Leicester,/matches/1821298/live/angleterre-premier-league-2024-2025-aston-villa-leicester
1821299,Angleterre Premier,League,2024-2025,Brighton Arsenal,/matches/1821299/live/angleterre-premier-league-2024-2025-brighton-arsenal
1821300,Angleterre Premier,League,2024-2025,Crystal Palace Chelsea,/matches/1821300/live/angleterre-premier-league-2024-2025-crystal-palace-chelsea
1821301,Angleterre Premier,League,2024-2025,Fulham Ipswich,/matches/1821301/live/angleterre-premier-league-2024-2025-fulham-ipswich
1821302,Angleterre Premier,League,2024-2025,Liverpool Manchester United,/matches/1821302/live/angleterre-premier-league-2024-2025-liverpool-manchester-united
1821303,Angleterre Premier,League,2024-2025,Manchester City West Ham,/matches/1821303/live/angleterre-premier-league-2024-2025-manchester-city-west-ham
1821304,Angleterre Premier,League,2024-2025,Southampton Brentford,/matches/1821304/live/angleterre-premier-league-2024-2025-southampton-brentford
1821305,Angleterre Premier,League,2024-2025,Tottenham Newcastle,/matches/1821305/live/angleterre-premier-league-2024-2025-tottenham-newcastle
1821306,Angleterre Premier,League,2024-2025,Wolves Nottingham Forest,/matches/1821306/live/angleterre-premier-league-2024-2025-wolves-nottingham-forest
1821307,Angleterre Premier,League,2024-2025,Arsenal Tottenham,/matches/1821307/live/angleterre-premier-league-2024-2025-arsenal-tottenham
1821308,Angleterre Premier,League,2024-2025,Brentford Manchester City,/matches/1821308/live/angleterre-premier-league-2024-2025-brentford-manchester-city
1821309,Angleterre Premier,League,2024-2025,Everton Aston Villa,/matches/1821309/live/angleterre-premier-league-2024-2025-everton-aston-villa
1821310,Angleterre Premier,League,2024-2025,Ipswich Brighton,/matches/1821310/live/angleterre-premier-league-2024-2025-ipswich-brighton
1821311,Angleterre Premier,League,2024-2025,Leicester Crystal Palace,/matches/1821311/live/angleterre-premier-league-2024-2025-leicester-crystal-palace
1821312,Angleterre Premier,League,2024-2025,Nottingham Forest Liverpool,/matches/1821312/live/angleterre-premier-league-2024-2025-nottingham-forest-liverpool
1821313,Angleterre Premier,League,2024-2025,West Ham Fulham,/matches/1821313/live/angleterre-premier-league-2024-2025-west-ham-fulham
1821314,Angleterre Premier,League,2024-2025,Chelsea Bournemouth,/matches/1821314/live/angleterre-premier-league-2024-2025-chelsea-bournemouth
1821315,Angleterre Premier,League,2024-2025,Newcastle Wolves,/matches/1821315/live/angleterre-premier-league-2024-2025-newcastle-wolves
1821316,Angleterre Premier,League,2024-2025,Manchester United Southampton,/matches/1821316/live/angleterre-premier-league-2024-2025-manchester-united-southampton
1821317,Angleterre Premier,League,2024-2025,Arsenal Aston Villa,/matches/1821317/live/angleterre-premier-league-2024-2025-arsenal-aston-villa
1821318,Angleterre Premier,League,2024-2025,Brentford Liverpool,/matches/1821318/live/angleterre-premier-league-2024-2025-brentford-liverpool
1821319,Angleterre Premier,League,2024-2025,Bournemouth Brighton,/matches/1821319/live/angleterre-premier-league-2024-2025-bournemouth-brighton
1821320,Angleterre Premier,League,2024-2025,Newcastle West Ham,/matches/1821320/live/angleterre-premier-league-2024-2025-newcastle-west-ham
1821321,Angleterre Premier,League,2024-2025,Arsenal Nottingham Forest,/matches/1821321/live/angleterre-premier-league-2024-2025-arsenal-nottingham-forest
1821322,Angleterre Premier,League,2024-2025,Everton Brentford,/matches/1821322/live/angleterre-premier-league-2024-2025-everton-brentford
1821323,Angleterre Premier,League,2024-2025,Aston Villa Crystal Palace,/matches/1821323/live/angleterre-premier-league-2024-2025-aston-villa-crystal-palace
1821324,Angleterre Premier,League,2024-2025,Fulham Wolves,/matches/1821324/live/angleterre-premier-league-2024-2025-fulham-wolves
1821325,Angleterre Premier,League,2024-2025,Ipswich Manchester United,/matches/1821325/live/angleterre-premier-league-2024-2025-ipswich-manchester-united
1821326,Angleterre Premier,League,2024-2025,Leicester Chelsea,/matches/1821326/live/angleterre-premier-league-2024-2025-leicester-chelsea
1821327,Angleterre Premier,League,2024-2025,Manchester City Tottenham,/matches/1821327/live/angleterre-premier-league-2024-2025-manchester-city-tottenham
1821328,Angleterre Premier,League,2024-2025,Southampton Liverpool,/matches/1821328/live/angleterre-premier-league-2024-2025-southampton-liverpool
1821389,Angleterre Premier,League,2024-2025,Bournemouth Nottingham Forest,/matches/1821389/live/angleterre-premier-league-2024-2025-bournemouth-nottingham-forest
1821390,Angleterre Premier,League,2024-2025,Everton Manchester United,/matches/1821390/live/angleterre-premier-league-2024-2025-everton-manchester-united
1821391,Angleterre Premier,League,2024-2025,Aston Villa West Ham,/matches/1821391/live/angleterre-premier-league-2024-2025-aston-villa-west-ham
1821392,Angleterre Premier,League,2024-2025,Fulham Crystal Palace,/matches/1821392/live/angleterre-premier-league-2024-2025-fulham-crystal-palace
1821393,Angleterre Premier,League,2024-2025,Brighton Everton,/matches/1821393/live/angleterre-premier-league-2024-2025-brighton-everton
1821394,Angleterre Premier,League,2024-2025,Ipswich Tottenham,/matches/1821394/live/angleterre-premier-league-2024-2025-ipswich-tottenham
1821395,Angleterre Premier,League,2024-2025,Crystal Palace Brentford,/matches/1821395/live/angleterre-premier-league-2024-2025-crystal-palace-brentford
1821396,Angleterre Premier,League,2024-2025,Leicester Brentford,/matches/1821396/live/angleterre-premier-league-2024-2025-leicester-brentford
1821397,Angleterre Premier,League,2024-2025,Fulham Manchester United,/matches/1821397/live/angleterre-premier-league-2024-2025-fulham-manchester-united
1821398,Angleterre Premier,League,2024-2025,Manchester City Liverpool,/matches/1821398/live/angleterre-premier-league-2024-2025-manchester-city-liverpool
1821399,Angleterre Premier,League,2024-2025,Liverpool Ipswich,/matches/1821399/live/angleterre-premier-league-2024-2025-liverpool-ipswich
1821400,Angleterre Premier,League,2024-2025,Newcastle Nottingham Forest,/matches/1821400/live/angleterre-premier-league-2024-2025-newcastle-nottingham-forest
1821401,Angleterre Premier,League,2024-2025,Manchester City Chelsea,/matches/1821401/live/angleterre-premier-league-2024-2025-manchester-city-chelsea
1821402,Angleterre Premier,League,2024-2025,Southampton Brighton,/matches/1821402/live/angleterre-premier-league-2024-2025-southampton-brighton
1821403,Angleterre Premier,League,2024-2025,Southampton Newcastle,/matches/1821403/live/angleterre-premier-league-2024-2025-southampton-newcastle
1821404,Angleterre Premier,League,2024-2025,Tottenham Leicester,/matches/1821404/live/angleterre-premier-league-2024-2025-tottenham-leicester
1821405,Angleterre Premier,League,2024-2025,Wolves Arsenal,/matches/1821405/live/angleterre-premier-league-2024-2025-wolves-arsenal
1821406,Angleterre Premier,League,2024-2025,Bournemouth Liverpool,/matches/1821406/live/angleterre-premier-league-2024-2025-bournemouth-liverpool
1821407,Angleterre Premier,League,2024-2025,Arsenal Manchester City,/matches/1821407/live/angleterre-premier-league-2024-2025-arsenal-manchester-city
1821408,Angleterre Premier,League,2024-2025,Brentford Tottenham,/matches/1821408/live/angleterre-premier-league-2024-2025-brentford-tottenham
1821409,Angleterre Premier,League,2024-2025,Chelsea West Ham,/matches/1821409/live/angleterre-premier-league-2024-2025-chelsea-west-ham
1821410,Angleterre Premier,League,2024-2025,Everton Leicester,/matches/1821410/live/angleterre-premier-league-2024-2025-everton-leicester
1821411,Angleterre Premier,League,2024-2025,Ipswich Southampton,/matches/1821411/live/angleterre-premier-league-2024-2025-ipswich-southampton
1821412,Angleterre Premier,League,2024-2025,Manchester United Crystal Palace,/matches/1821412/live/angleterre-premier-league-2024-2025-manchester-united-crystal-palace
1821413,Angleterre Premier,League,2024-2025,Newcastle Fulham,/matches/1821413/live/angleterre-premier-league-2024-2025-newcastle-fulham
1821414,Angleterre Premier,League,2024-2025,Nottingham Forest Brighton,/matches/1821414/live/angleterre-premier-league-2024-2025-nottingham-forest-brighton
1821415,Angleterre Premier,League,2024-2025,Wolves Aston Villa,/matches/1821415/live/angleterre-premier-league-2024-2025-wolves-aston-villa
1821416,Angleterre Premier,League,2024-2025,Aston Villa Ipswich,/matches/1821416/live/angleterre-premier-league-2024-2025-aston-villa-ipswich
1821417,Angleterre Premier,League,2024-2025,Brighton Chelsea,/matches/1821417/live/angleterre-premier-league-2024-2025-brighton-chelsea
1821418,Angleterre Premier,League,2024-2025,Crystal Palace Everton,/matches/1821418/live/angleterre-premier-league-2024-2025-crystal-palace-everton
1821419,Angleterre Premier,League,2024-2025,Fulham Nottingham Forest,/matches/1821419/live/angleterre-premier-league-2024-2025-fulham-nottingham-forest
1821420,Angleterre Premier,League,2024-2025,Leicester Arsenal,/matches/1821420/live/angleterre-premier-league-2024-2025-leicester-arsenal
1821421,Angleterre Premier,League,2024-2025,Liverpool Wolves,/matches/1821421/live/angleterre-premier-league-2024-2025-liverpool-wolves
1821422,Angleterre Premier,League,2024-2025,Manchester City Newcastle,/matches/1821422/live/angleterre-premier-league-2024-2025-manchester-city-newcastle
1821423,Angleterre Premier,League,2024-2025,Southampton Bournemouth,/matches/1821423/live/angleterre-premier-league-2024-2025-southampton-bournemouth
1821424,Angleterre Premier,League,2024-2025,Tottenham Manchester United,/matches/1821424/live/angleterre-premier-league-2024-2025-tottenham-manchester-united
1821425,Angleterre Premier,League,2024-2025,West Ham Brentford,/matches/1821425/live/angleterre-premier-league-2024-2025-west-ham-brentford
1821426,Angleterre Premier,League,2024-2025,Bournemouth Wolves,/matches/1821426/live/angleterre-premier-league-2024-2025-bournemouth-wolves
1821427,Angleterre Premier,League,2024-2025,Arsenal West Ham,/matches/1821427/live/angleterre-premier-league-2024-2025-arsenal-west-ham
1821428,Angleterre Premier,League,2024-2025,Aston Villa Chelsea,/matches/1821428/live/angleterre-premier-league-2024-2025-aston-villa-chelsea
1821429,Espagne,Laliga,2024-2025,Athletic Club Getafe,/matches/1821429/live/espagne-laliga-2024-2025-athletic-club-getafe
1821430,Espagne,Laliga,2024-2025,Real Betis Girona,/matches/1821430/live/espagne-laliga-2024-2025-real-betis-girona
1821431,Espagne,Laliga,2024-2025,Mallorca Real Madrid,/matches/1821431/live/espagne-laliga-2024-2025-mallorca-real-madrid
1821432,Espagne,Laliga,2024-2025,Las Palmas Sevilla,/matches/1821432/live/espagne-laliga-2024-2025-las-palmas-sevilla
1821433,Espagne,Laliga,2024-2025,Villarreal Atletico Madrid,/matches/1821433/live/espagne-laliga-2024-2025-villarreal-atletico-madrid
1821434,Espagne,Laliga,2024-2025,Valencia Barcelona,/matches/1821434/live/espagne-laliga-2024-2025-valencia-barcelona
1821435,Espagne,Laliga,2024-2025,Real Sociedad Rayo Vallecano,/matches/1821435/live/espagne-laliga-2024-2025-real-sociedad-rayo-vallecano
1821436,Espagne,Laliga,2024-2025,Celta Vigo Deportivo Alaves,/matches/1821436/live/espagne-laliga-2024-2025-celta-vigo-deportivo-alaves
1821437,Espagne,Laliga,2024-2025,Osasuna Leganes,/matches/1821437/live/espagne-laliga-2024-2025-osasuna-leganes
1821438,Espagne,Laliga,2024-2025,Atletico Madrid Girona,/matches/1821438/live/espagne-laliga-2024-2025-atletico-madrid-girona
1821439,Espagne,Laliga,2024-2025,Celta Vigo Valencia,/matches/1821439/live/espagne-laliga-2024-2025-celta-vigo-valencia
1821440,Espagne,Laliga,2024-2025,Getafe Rayo Vallecano,/matches/1821440/live/espagne-laliga-2024-2025-getafe-rayo-vallecano
1821441,Espagne,Laliga,2024-2025,Real Madrid Real Valladolid,/matches/1821441/live/espagne-laliga-2024-2025-real-madrid-real-valladolid
1821442,Espagne,Laliga,2024-2025,Sevilla Villarreal,/matches/1821442/live/espagne-laliga-2024-2025-sevilla-villarreal
1821443,Espagne,Laliga,2024-2025,Deportivo Alaves Real Betis,/matches/1821443/live/espagne-laliga-2024-2025-deportivo-alaves-real-betis
1821444,Espagne,Laliga,2024-2025,Leganes Las Palmas,/matches/1821444/live/espagne-laliga-2024-2025-leganes-las-palmas
1821445,Espagne,Laliga,2024-2025,Barcelona Athletic Club,/matches/1821445/live/espagne-laliga-2024-2025-barcelona-athletic-club
1821446,Espagne,Laliga,2024-2025,Osasuna Mallorca,/matches/1821446/live/espagne-laliga-2024-2025-osasuna-mallorca
1821447,Espagne,Laliga,2024-2025,Athletic Club Valencia,/matches/1821447/live/espagne-laliga-2024-2025-athletic-club-valencia
1821448,Espagne,Laliga,2024-2025,Real Betis Getafe,/matches/1821448/live/espagne-laliga-2024-2025-real-betis-getafe
1821449,Espagne,Laliga,2024-2025,Girona Osasuna,/matches/1821449/live/espagne-laliga-2024-2025-girona-osasuna
1821450,Espagne,Laliga,2024-2025,Mallorca Sevilla,/matches/1821450/live/espagne-laliga-2024-2025-mallorca-sevilla
1821451,Espagne,Laliga,2024-2025,Las Palmas Real Madrid,/matches/1821451/live/espagne-laliga-2024-2025-las-palmas-real-madrid
1821452,Espagne,Laliga,2024-2025,Rayo Vallecano Barcelona,/matches/1821452/live/espagne-laliga-2024-2025-rayo-vallecano-barcelona
1821453,Espagne,Laliga,2024-2025,Villarreal Celta Vigo,/matches/1821453/live/espagne-laliga-2024-2025-villarreal-celta-vigo
1821454,Espagne,Laliga,2024-2025,Real Sociedad Deportivo Alaves,/matches/1821454/live/espagne-laliga-2024-2025-real-sociedad-deportivo-alaves
1821455,Espagne,Laliga,2024-2025,Real Valladolid Leganes,/matches/1821455/live/espagne-laliga-2024-2025-real-valladolid-leganes
1821456,Espagne,Laliga,2024-2025,Athletic Club Atletico Madrid,/matches/1821456/live/espagne-laliga-2024-2025-athletic-club-atletico-madrid
1821457,Espagne,Laliga,2024-2025,Barcelona Real Valladolid,/matches/1821457/live/espagne-laliga-2024-2025-barcelona-real-valladolid
1821458,Espagne,Laliga,2024-2025,Getafe Real Sociedad,/matches/1821458/live/espagne-laliga-2024-2025-getafe-real-sociedad
1821459,Espagne,Laliga,2024-2025,Valencia Villarreal,/matches/1821459/live/espagne-laliga-2024-2025-valencia-villarreal
1821460,Espagne,Laliga,2024-2025,Deportivo Alaves Las Palmas,/matches/1821460/live/espagne-laliga-2024-2025-deportivo-alaves-las-palmas
1821461,Espagne,Laliga,2024-2025,Leganes Mallorca,/matches/1821461/live/espagne-laliga-2024-2025-leganes-mallorca
1821462,Espagne,Laliga,2024-2025,Real Madrid Real Betis,/matches/1821462/live/espagne-laliga-2024-2025-real-madrid-real-betis
1821463,Espagne,Laliga,2024-2025,Osasuna Celta Vigo,/matches/1821463/live/espagne-laliga-2024-2025-osasuna-celta-vigo
1821464,Espagne,Laliga,2024-2025,Sevilla Girona,/matches/1821464/live/espagne-laliga-2024-2025-sevilla-girona
1821465,Espagne,Laliga,2024-2025,Atletico Madrid Valencia,/matches/1821465/live/espagne-laliga-2024-2025-atletico-madrid-valencia
1821466,Espagne,Laliga,2024-2025,Real Betis Leganes,/matches/1821466/live/espagne-laliga-2024-2025-real-betis-leganes
1821467,Espagne,Laliga,2024-2025,Celta Vigo Real Valladolid,/matches/1821467/live/espagne-laliga-2024-2025-celta-vigo-real-valladolid
1821468,Espagne,Laliga,2024-2025,Mallorca Villarreal,/matches/1821468/live/espagne-laliga-2024-2025-mallorca-villarreal
1821469,Espagne,Laliga,2024-2025,Las Palmas Athletic Club,/matches/1821469/live/espagne-laliga-2024-2025-las-palmas-athletic-club
1821470,Espagne,Laliga,2024-2025,Girona Barcelona,/matches/1821470/live/espagne-laliga-2024-2025-girona-barcelona
1821471,Espagne,Laliga,2024-2025,Sevilla Getafe,/matches/1821471/live/espagne-laliga-2024-2025-sevilla-getafe
