league,journey,season,date,hours,referee,stadium,team1,team2,action_minute,action_score,action_description,action_type,action_team,link
Ligue 1,Journée 24,2024/2025,01/03/2025,19:00,Jérémie Pignard,Stade Bollaert-Delelis,Lens,Le Havre,79,3:3,Tom Pouilly pour Ruben Aguilar,Substitute,Lens,
Ligue 1,Journée 24,2024/2025,01/03/2025,19:00,Jérémie Pignard,Stade Bollaert-Delelis,Lens,Le Havre,79,3:3,Goduine Koyalipou pour Wesley Saïd,Substitute,Lens,
Ligue 1,Journée 24,2024/2025,01/03/2025,19:00,Jérémie Pignard,Stade Bollaert-Delelis,Lens,Le Havre,91,3:4,Koka (Pen),Goal score,Le Havre,
Ligue 1,Journée 24,2024/2025,01/03/2025,19:00,Jérémie Pignard,Stade Bollaert-Delelis,Lens,Le Havre,92,3:4,Rayan Fofana pour Adrien Thomasson,Substitute,Lens,
Ligue 1,Journée 24,2024/2025,01/03/2025,19:00,Jérémie Pignard,Stade Bollaert-Delelis,Lens,Le Havre,94,3:4,Timothee Pembele pour Josué Casimir,Substitute,Le Havre,
Ligue 1,Journée 24,2024/2025,01/03/2025,21:05,François Letexier,Parc des Princes,Paris Saint-Germain,Lille,6,1:0,Bradley Barcola,Goal,Paris Saint-Germain,https://fbref.com/fr/matchs/3432f5cc/Paris-Saint-Germain-Lille-1-Mars-2025-Ligue-1
Ligue 1,Journée 24,2024/2025,01/03/2025,21:05,François Letexier,Parc des Princes,Paris Saint-Germain,Lille,22,2:0,Marquinhos - Passe décisive : Désiré Doué,Goal,Paris Saint-Germain,
Ligue 1,Journée 24,2024/2025,01/03/2025,21:05,François Letexier,Parc des Princes,Paris Saint-Germain,Lille,28,3:0,Ousmane Dembélé - Passe décisive : João Neves,Goal,Paris Saint-Germain,
Ligue 1,Journée 24,2024/2025,01/03/2025,21:05,François Letexier,Parc des Princes,Paris Saint-Germain,Lille,37,4:0,Désiré Doué - Passe décisive : Ousmane Dembélé,Goal,Paris Saint-Germain,
Ligue 1,Journée 24,2024/2025,01/03/2025,21:05,François Letexier,Parc des Princes,Paris Saint-Germain,Lille,39,4:0,Thomas Meunier,Yellow Card,Lille,
