league,journey,season,date,hours,referee,stadium,team1,team2,name,shirtnumber,nationality,position,age,minutes,goals,assists_x,pens_made,pens_att,shots,shots_on_target,cards_yellow_x,cards_red_x,touches_x,tackles_x,interceptions_x,blocks_x,xg,npxg,xg_assist_x,sca,gca,passes_completed_x,passes_x,passes_pct_x,progressive_passes_x,carries_x,progressive_carries_x,take_ons_x,take_ons_won_x,passes_completed_y,passes_y,passes_pct_y,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists_y,xg_assist_y,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes_y,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses_x,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,tackles_y,tackles_won_x,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks_y,blocked_shots,blocked_passes,interceptions_y,tackles_interceptions,clearances,errors,touches_y,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_y,take_ons_won_y,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_y,carries_distance,carries_progressive_distance,progressive_carries_y,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses_y,interceptions,tackles_won_y,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,link
Ligue 1,Journée 24,2024/2025,01/03/2025,17:00,Jérôme Brisard,Stade Geoffroy-Guichard,Saint-Étienne,Nice,Dylan Batubinsika,21,COD,CB,29-014,70,0,0,0,0,0,0,0,0,75,0,0,0,0.0,0.0,0.0,0,0,67,67,100.0,3,54,0,0,0,67,67,100.0,1185,325,25,25,100.0,38,38,100.0,4,4,100.0,0,0.0,0.0,0,3,0,0,3,67,66,1,1,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,8,0,75,11,26,48,1,0,75,0,0,,0,,54,219,121,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,66.7,,,,,,,,,,,,,,,,,,,,,
Ligue 1,Journée 24,2024/2025,01/03/2025,17:00,Jérôme Brisard,Stade Geoffroy-Guichard,Saint-Étienne,Nice,   Maxime Bernauer,13,FRA,CB,26-243,20,0,0,0,0,0,0,1,0,23,0,0,0,0.0,0.0,0.0,0,0,20,22,90.9,0,10,0,1,1,20,22,90.9,282,95,11,12,91.7,8,9,88.9,1,1,100.0,0,0.0,0.0,0,3,0,0,0,22,21,1,1,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,23,0,6,16,2,1,23,1,1,100.0,0,0.0,10,43,21,0,0,0,1,0,17,0,1,0,0,1,0,0,0,0,0,0,0,0,3,2,1,66.7,,,,,,,,,,,,,,,,,,,,,
Ligue 1,Journée 24,2024/2025,01/03/2025,17:00,Jérôme Brisard,Stade Geoffroy-Guichard,Saint-Étienne,Nice,Yvann Macon,27,FRA,RB,26-151,61,0,0,0,0,1,0,0,0,62,1,0,2,0.0,0.0,0.1,1,0,45,54,83.3,4,43,3,3,1,45,54,83.3,665,199,30,32,93.8,13,15,86.7,2,7,28.6,0,0.1,0.1,1,4,1,0,4,54,48,6,0,0,0,2,6,0,0,0,0,45,0,0,1,1,0,0,1,1,3,33.3,2,2,1,1,0,1,0,0,62,1,8,30,25,1,62,3,1,33.3,2,66.7,43,192,123,3,5,0,1,2,50,2,0,0,0,2,1,0,2,0,1,0,0,0,5,1,2,33.3,,,,,,,,,,,,,,,,,,,,,
Ligue 1,Journée 24,2024/2025,01/03/2025,17:00,Jérôme Brisard,Stade Geoffroy-Guichard,Saint-Étienne,Nice,   Dennis Appiah,8,FRA,RB,32-265,29,0,0,0,0,0,0,0,0,23,1,0,0,0.0,0.0,0.1,2,0,14,19,73.7,3,14,2,1,0,14,19,73.7,226,94,9,10,90.0,4,7,57.1,1,1,100.0,0,0.1,0.2,1,1,1,1,3,19,16,3,0,0,0,3,3,0,0,0,0,14,0,0,1,1,0,0,1,1,3,33.3,2,0,0,0,0,1,2,0,23,1,4,4,15,0,23,1,0,0.0,1,100.0,14,55,34,2,1,0,0,0,17,2,0,0,0,0,1,0,3,0,1,0,0,0,0,1,0,100.0,,,,,,,,,,,,,,,,,,,,,
Ligue 1,Journée 24,2024/2025,01/03/2025,17:00,Jérôme Brisard,Stade Geoffroy-Guichard,Saint-Étienne,Nice,Gautier Larsonneur,30,FRA,GK,28-006,90,0,0,0,0,0,0,0,0,48,0,0,0,0.0,0.0,0.0,0,0,26,41,63.4,0,26,0,0,0,26,41,63.4,473,291,11,11,100.0,13,13,100.0,2,17,11.8,0,0.0,0.0,0,0,0,0,0,41,32,9,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,48,41,48,0,0,0,48,0,0,,0,,26,130,82,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,9,3,7,66.7,2.7,0,13,0.0,32,5,34.4,30.3,9,22.2,25.8,15,2,13.3,2,16.5,
Ligue 1,Journée 24,2024/2025,01/03/2025,17:00,Jérôme Brisard,Stade Geoffroy-Guichard,Saint-Étienne,Nice,Gaëtan Laborde,24,FRA,FW,30-302,61,0,0,0,0,2,2,0,0,28,0,0,0,0.5,0.5,0.4,4,0,15,24,62.5,4,11,1,1,1,15,24,62.5,244,64,9,12,75.0,5,8,62.5,1,2,50.0,0,0.4,0.2,4,2,1,0,4,24,22,2,0,0,0,1,0,0,0,0,0,15,0,1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,28,1,4,12,12,6,28,1,1,100.0,0,0.0,11,67,52,1,1,0,0,1,19,5,0,0,0,1,0,0,1,0,0,0,0,0,4,2,0,100.0,,,,,,,,,,,,,,,,,,,,,
Ligue 1,Journée 24,2024/2025,01/03/2025,17:00,Jérôme Brisard,Stade Geoffroy-Guichard,Saint-Étienne,Nice,   Sofiane Diop,10,FRA,AM,24-265,29,0,0,0,0,0,0,0,0,17,1,0,0,0.0,0.0,0.0,1,0,10,11,90.9,1,12,3,4,2,10,11,90.9,219,59,4,4,100.0,4,5,80.0,2,2,100.0,0,0.0,0.2,0,2,1,1,1,11,11,0,0,0,2,2,0,0,0,0,0,10,0,0,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,1,17,0,3,8,6,1,17,4,2,50.0,2,50.0,12,107,75,3,0,1,2,1,14,3,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0.0,,,,,,,,,,,,,,,,,,,,,
Ligue 1,Journée 24,2024/2025,01/03/2025,17:00,Jérôme Brisard,Stade Geoffroy-Guichard,Saint-Étienne,Nice,Mohamed Ali Cho,25,FRA,AM,21-041,78,0,1,0,0,3,0,0,0,35,2,1,0,0.2,0.2,0.1,3,1,13,20,65.0,4,26,10,6,2,13,20,65.0,169,55,9,11,81.8,4,7,57.1,0,1,0.0,1,0.1,0.2,1,1,2,0,4,20,20,0,0,0,0,3,0,0,0,0,0,13,0,1,2,2,2,0,0,0,0,,0,0,0,0,1,3,0,0,35,0,7,15,16,4,35,6,2,33.3,4,66.7,26,319,232,10,3,4,3,2,27,8,0,0,0,0,3,0,3,1,2,0,0,0,4,0,1,0.0,,,,,,,,,,,,,,,,,,,,,
Ligue 1,Journée 24,2024/2025,01/03/2025,17:00,Jérôme Brisard,Stade Geoffroy-Guichard,Saint-Étienne,Nice,   Jeremie Boga,7,CIV,"AM,FW",28-057,12,0,0,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.0,0,0,5,6,83.3,0,4,0,2,0,5,6,83.3,73,2,2,3,66.7,3,3,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,9,0,4,4,1,0,9,2,0,0.0,2,100.0,4,18,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,
Ligue 1,Journée 24,2024/2025,01/03/2025,17:00,Jérôme Brisard,Stade Geoffroy-Guichard,Saint-Étienne,Nice,Evann Guessand,29,CIV,"AM,FW",23-243,87,1,0,0,0,2,1,0,0,31,1,1,2,0.2,0.2,0.0,0,0,10,18,55.6,0,14,4,2,2,10,18,55.6,91,20,10,13,76.9,0,2,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,18,18,0,0,0,0,2,0,0,0,0,0,10,0,2,1,1,0,1,0,0,1,0.0,1,2,0,2,1,2,1,0,31,0,5,14,13,4,31,2,2,100.0,0,0.0,14,110,47,4,1,1,4,1,21,7,0,0,0,0,1,1,2,1,1,0,0,0,2,1,2,33.3,,,,,,,,,,,,,,,,,,,,,
